ALT,RPM,%BHP,FF,TAS
2500,2575,75,12.3,125
2500,2450,65,9.4,117
2500,2250,51,7.4,108
3500,2600,75,12.3,126
3500,2450,63,9.1,117
3500,2300,52,7.6,109
4500,2625,75,12.3,127
4500,2500,64,9.3,118
4500,2300,50,7.3,108
5500,2650,75,12.3,128
5500,2550,66,9.8,120
5500,2350,51,7.4,109
6500,2675,75,12.3,129
6500,2550,63,9.1,119
6500,2400,52,7.6,110
7500,2700,74,12.1,130
7500,2600,65,9.4,121
7500,2400,50,7.3,110
8500,2700,70,11.2,125
8500,2600,62,8.9,119
8500,2450,50,7.3,111
9500,2700,68,10.6,124
9500,2600,60,8.7,119
9500,2500,52,7.6,113
10500,2700,66,9.8,123
10500,2600,57,8.4,117
10500,2500,48,7,110
11500,2700,62,8.9,121
11500,2600,55,8,116
11500,2500,45,6,107
